Órgão,Grupo,Quem faz,Atribuição
CADG,2,CSI,Gerencia bancos de dados com informações sensíveis e sigilosas
CADG,2,CSI,Dissemina conhecimento
CADG,2,CSI,Apoia os CAOs e grupos
CADG,2,CSI,Potencializa o impacto social do MPRJ
CADG,2,STIC,Implementa programa de segurança da informação
CADG,2,STIC,Faz a gestão do parque de infraestrutura e tecnologia e telecomunicação do MPRJ
CADG,2,STIC,Desenvolve sites para campanhas e casos de atuação do MPRJ
CADG,2,STIC,Desenvolve sistemas de tecnologia da informação de uso interno
CADG,2,STIC,Faz a gestão do portal do MPRJ e da programação visual do site do MPRJ
CADG,2,STIC,Dá suporte ou faz a aquisição de produtos de TIC institucionais
CADG,2,STIC,Dissemina conhecimento
CADG,2,STIC,Apoia os CAOs e grupos
CADG,2,STIC,Potencializa o impacto social do MPRJ
CADG,2,GATE,Promove e organiza a gestão do conhecimento técnico do MPRJ
CADG,2,GATE,Oferece consultoria técnica
CADG,2,GATE,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ
CADG,2,GATE,Dá suporte técnico a casos concretos de atuação do MPRJ
CADG,2,GATE,Dissemina conhecimento
CADG,2,GATE,Apoia os CAOs e grupos
CADG,2,GATE,Potencializa o impacto social do MPRJ
CADG,2,INOVA,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ
CADG,2,INOVA,Faz experimentos
CADG,2,INOVA,Avalia fluxos e processos
CADG,2,INOVA,Difunde inovação e boas práticas sobre administração pública
CADG,2,INOVA,Contribuição para a eleição de prioridades de atuação do MPRJ
CADG,2,INOVA,Difunde a cultura e métodos de ideação e inovação
CADG,2,INOVA,Prospecta no Brasil e no mundo tendências e iniciativas de inovação
CADG,2,INOVA,Dissemina conhecimento
CADG,2,INOVA,Apoia os CAOs e grupos
CADG,2,INOVA,Potencializa o impacto social do MPRJ
CADG,2,CADG,Elabora diagnósticos de órgãos do Ministério Público
CADG,2,CADG,Coleta dados da atuação institucional
CADG,2,CADG,Promove e fomenta análises interdisciplinares
CADG,2,CADG,Difunde informação de interesse social a partir da coleta e análise de dados
CADG,2,CADG,"Coleta, trata, guarda e disponibiliza dados internos e externos"
CADG,2,CADG,"Coleta, analisa e sistematiza dados internos e externos georreferenciados"
CADG,2,CADG,Desenvolve visualizações estáticas e interativas de dados processados
CADG,2,CADG,Desenvolve e gerencia plataformas de divulgação de informações de interesse social
CADG,2,CADG,Usa ferramentas de ciências de dados para o suporte a investigações criminais
CADG,2,CADG,Desenvolve aplicações a partir da análise de dados internos e externos
CADG,2,CADG,Desenvolve sistemas a partir da análise de dados externos e internos
CADG,2,CADG,Dissemina conhecimento
CADG,2,CADG,Apoia os CAOs e grupos
CADG,2,CADG,Potencializa o impacto social do MPRJ
CADG,2,CENPE,Elabora diagnósticos de órgãos do Ministério Público
CADG,2,CENPE,Coleta dados da atuação institucional
CADG,2,CENPE,Promove e fomenta análises interdisciplinares
CADG,2,CENPE,Difunde informação de interesse social a partir da coleta e análise de dados
CADG,2,CENPE,Produz conhecimento com análise crítica
CADG,2,CENPE,Iniciativas de políticas públicas
CADG,2,CENPE,Avalia a efetividade das políticas públicas
CADG,2,CENPE,Difunde os métodos de pesquisa científica e uso de evidências 
CADG,2,CENPE,Identifica problemas públicos relevantes
CADG,2,CENPE,"Fomenta inovação, transparência, inclusão e participação na gestão pública"
CADG,2,CENPE,Dissemina conhecimento
CADG,2,CENPE,Apoia os CAOs e grupos
CADG,2,CENPE,Potencializa o impacto social do MPRJ
CADG,2,NINGUÉM,Estimula a criação de rede de atores internos e externos
CADG,2,NINGUÉM,Promove a atuação sistêmica do MPRJ
CADG,2,NINGUÉM,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos
CADG,2,NINGUÉM,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ
CENPE,1,CSI,Implementa programa e medidas de proteção de dados em poder do MPRJ
CENPE,1,CSI,Usa ferramentas de ciências de dados para o suporte a investigações criminais
CENPE,1,CSI,Monitora dados relativos a presos e organizações criminosas
CENPE,1,CSI,Gerencia bancos de dados com informações sensíveis e sigilosas
CENPE,1,STIC,Implementa programa e medidas de proteção de dados em poder do MPRJ
CENPE,1,STIC,Dá suporte ou faz a aquisição de produtos de TIC institucionais
CENPE,1,STIC,Desenvolve sites para campanhas e casos de atuação do MPRJ
CENPE,1,STIC,Faz a gestão do portal do MPRJ e da programação visual do site do MPRJ
CENPE,1,STIC,Faz a gestão do parque de infraestrutura e tecnologia e telecomunicação do MPRJ
CENPE,1,STIC,Desenvolve sistemas de tecnologia da informação de uso interno
CENPE,1,STIC,Implementa programa de segurança da informação
CENPE,1,GATE,Dá suporte técnico a casos concretos de atuação do MPRJ
CENPE,1,GATE,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ
CENPE,1,GATE,Oferece consultoria técnica
CENPE,1,GATE,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos
CENPE,1,GATE,Promove e organiza a gestão do conhecimento técnico do MPRJ
CENPE,1,CADG,"Coleta, trata, guarda e disponibiliza dados internos e externos"
CENPE,1,CADG,Desenvolve visualizações estáticas e interativas de dados processados
CENPE,1,CADG,"Coleta, analisa e sistematiza dados internos e externos georreferenciados"
CENPE,1,CADG,Desenvolve aplicações a partir da análise de dados internos e externos
CENPE,1,CADG,Desenvolve e gerencia plataformas de divulgação de informações de interesse social
CENPE,1,CADG,Desenvolve sistemas a partir da análise de dados externos e internos
CENPE,1,CADG,Difunde informação de interesse social a partir da coleta e análise de dados
CENPE,1,CADG,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos
CENPE,1,CADG,Dissemina conhecimento
CENPE,1,CADG,Contribuição para a eleição de prioridades de atuação do MPRJ
CENPE,1,CADG,Produz conhecimento com análise crítica
CENPE,1,CENPE,Elabora diagnósticos de órgãos do Ministério Público
CENPE,1,CENPE,"Coleta, trata, guarda e disponibiliza dados internos e externos"
CENPE,1,CENPE,Desenvolve visualizações estáticas e interativas de dados processados
CENPE,1,CENPE,Avalia a efetividade das políticas públicas
CENPE,1,CENPE,Coleta dados da atuação institucional
CENPE,1,CENPE,Promove e fomenta análises interdisciplinares
CENPE,1,CENPE,Apoia os CAOs e grupos
CENPE,1,CENPE,Realiza revisões de literatura e de iniciativas de políticas públicas
CENPE,1,CENPE,Difunde os métodos de pesquisa científica e uso de evidências 
CENPE,1,CENPE,Estimula a criação de rede de atores internos e externos
CENPE,1,CENPE,Identifica problemas públicos relevantes
CENPE,1,CENPE,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ
CENPE,1,CENPE,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
CENPE,1,CENPE,Oferece consultoria técnica
CENPE,1,CENPE,Monitora dados relativos a presos e organizações criminosas
CENPE,1,CENPE,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos
CENPE,1,CENPE,Dissemina conhecimento
CENPE,1,CENPE,Contribuição para a eleição de prioridades de atuação do MPRJ
CENPE,1,CENPE,Produz conhecimento com análise crítica
CENPE,1,INOVA,Elabora diagnósticos de órgãos do Ministério Público
CENPE,1,INOVA,Avalia fluxos e processos
CENPE,1,INOVA,Faz experimentos
CENPE,1,INOVA,Difunde inovação e boas práticas sobre administração pública
CENPE,1,INOVA,"Fomenta inovação, transparência, inclusão e participação na gestão pública"
CENPE,1,INOVA,Difunde a cultura e métodos de ideação e inovação
CENPE,1,INOVA,Prospecta no Brasil e no mundo tendências e iniciativas de inovação
CENPE,1,INOVA,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos
CENPE,1,INOVA,Dissemina conhecimento
CENPE,1,INOVA,Contribuição para a eleição de prioridades de atuação do MPRJ
CENPE,1,INOVA,Produz conhecimento com análise crítica
CENPE,1,IEP,Promove e organiza a gestão do conhecimento técnico do MPRJ
CENPE,1,IEP,Oferece o apoio pedagógico e logístico às ações treinamento
CENPE,1,IEP,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
CENPE,1,IEP,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos
CENPE,1,IEP,Dissemina conhecimento
CENPE,1,IEP,Contribuição para a eleição de prioridades de atuação do MPRJ
CENPE,1,IEP,Produz conhecimento com análise crítica
CENPE,1,NINGUÉM,Promove a atuação sistêmica do MPRJ
CENPE,1,NINGUÉM,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ
CENPE,1,NINGUÉM,Potencializa o impacto social do MPRJ
CENPE,2,INOVA,Difunde inovação e boas práticas sobre administração pública
CENPE,2,INOVA,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ
CENPE,2,INOVA,Faz experimentos
CENPE,2,INOVA,Difunde a cultura e métodos de ideação e inovação
CENPE,2,INOVA,Prospecta no Brasil e no mundo tendências e iniciativas de inovação
CENPE,2,INOVA,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos
CENPE,2,INOVA,Estimula a criação de rede de atores internos e externos
CENPE,2,CENPE,Difunde inovação e boas práticas sobre administração pública
CENPE,2,CENPE,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ
CENPE,2,CENPE,Avalia fluxos e processos
CENPE,2,CENPE,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ
CENPE,2,CENPE,Realiza revisões de literatura e de iniciativas de políticas públicas
CENPE,2,CENPE,Promove e fomenta análises interdisciplinares
CENPE,2,CENPE,Difunde os métodos de pesquisa científica e uso de evidências 
CENPE,2,CENPE,Identifica problemas públicos relevantes
CENPE,2,CENPE,Produz conhecimento com análise crítica
CENPE,2,CENPE,Desenvolve visualizações estáticas e interativas de dados processados
CENPE,2,CENPE,Difunde informação de interesse social a partir da coleta e análise de dados
CENPE,2,CENPE,Elabora diagnósticos de órgãos do Ministério Público
CENPE,2,CENPE,Apoia os CAOs e grupos
CENPE,2,CENPE,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
CENPE,2,CADG,Desenvolve visualizações estáticas e interativas de dados processados
CENPE,2,CADG,Difunde informação de interesse social a partir da coleta e análise de dados
CENPE,2,CADG,Elabora diagnósticos de órgãos do Ministério Público
CENPE,2,CADG,Apoia os CAOs e grupos
CENPE,2,CADG,Coleta dados da atuação institucional
CENPE,2,CADG,Desenvolve e gerencia plataformas de divulgação de informações de interesse social
CENPE,2,CADG,"Coleta, trata, guarda e disponibiliza dados internos e externos"
CENPE,2,CADG,Desenvolve sistemas a partir da análise de dados externos e internos
CENPE,2,CADG,"Coleta, analisa e sistematiza dados internos e externos georreferenciados"
CENPE,2,CADG,Desenvolve aplicações a partir da análise de dados internos e externos
CENPE,2,STIC,Desenvolve aplicações a partir da análise de dados internos e externos
CENPE,2,STIC,Desenvolve sites para campanhas e casos de atuação do MPRJ
CENPE,2,STIC,Dá suporte ou faz a aquisição de produtos de TIC institucionais
CENPE,2,STIC,Faz a gestão do portal do MPRJ e da programação visual do site do MPRJ
CENPE,2,STIC,Desenvolve sistemas de tecnologia da informação de uso interno
CENPE,2,STIC,Implementa programa de segurança da informação
CENPE,2,STIC,Faz a gestão do parque de infraestrutura e tecnologia e telecomunicação do MPRJ
CENPE,2,STIC,Implementa programa e medidas de proteção de dados em poder do MPRJ
CENPE,2,GATE,Oferece consultoria técnica
CENPE,2,GATE,Promove e organiza a gestão do conhecimento técnico do MPRJ
CENPE,2,GATE,Dá suporte técnico a casos concretos de atuação do MPRJ
CENPE,2,GATE,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ
CENPE,2,CSI,Monitora dados relativos a presos e organizações criminosas
CENPE,2,CSI,Gerencia bancos de dados com informações sensíveis e sigilosas
CENPE,2,CSI,Usa ferramentas de ciências de dados para o suporte a investigações criminais
CENPE,2,IEP,Oferece o apoio pedagógico e logístico às ações treinamento
CENPE,2,IEP,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ
CENPE,2,IEP,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
CENPE,2,IEP,Dissemina conhecimento
CENPE,2,NINGUÉM,"Fomenta inovação, transparência, inclusão e participação na gestão pública"
CENPE,2,NINGUÉM,Interage com atores externos para difusão de conhecimento
CENPE,2,NINGUÉM,Interage com atores externos para implementação de mudanças
GATE,1,INOVA,"Fomenta inovação, transparência, inclusão e participação na gestão pública"
GATE,1,INOVA,Difunde a cultura e métodos de ideação e inovação
GATE,1,INOVA,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ
GATE,1,INOVA,Faz experimentos
GATE,1,INOVA,Prospecta no Brasil e no mundo tendências e iniciativas de inovação
GATE,1,STIC,Desenvolve sistemas de tecnologia da informação de uso interno
GATE,1,STIC,Desenvolve sites para campanhas e casos de atuação do MPRJ
GATE,1,STIC,Faz a gestão do parque de infraestrutura e tecnologia e telecomunicação do MPRJ
GATE,1,STIC,Faz a gestão do portal do MPRJ e da programação visual do site do MPRJ
GATE,1,STIC,Implementa programa de segurança da informação
GATE,1,STIC,Implementa programa e medidas de proteção de dados em poder do MPRJ
GATE,1,STIC,Dá suporte ou faz a aquisição de produtos de TIC institucionais
GATE,1,STIC,Contribuição para a eleição de prioridades de atuação do MPRJ
GATE,1,CSI,Usa ferramentas de ciências de dados para o suporte a investigações criminais
GATE,1,CSI,Gerencia bancos de dados com informações sensíveis e sigilosas
GATE,1,CSI,Monitora dados relativos a presos e organizações criminosas
GATE,1,GATE,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ
GATE,1,GATE,Apoia os CAOs e grupos
GATE,1,GATE,Dá suporte técnico a casos concretos de atuação do MPRJ
GATE,1,GATE,Produz conhecimento com análise crítica
GATE,1,GATE,Oferece consultoria técnica
GATE,1,GATE,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ
GATE,1,GATE,Promove e organiza a gestão do conhecimento técnico do MPRJ
GATE,1,GATE,Avalia a efetividade das políticas públicas
GATE,1,GATE,Promove e fomenta análises interdisciplinares
GATE,1,IEP,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ
GATE,1,IEP,Dissemina conhecimento
GATE,1,IEP,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
GATE,1,IEP,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ
GATE,1,IEP,Oferece o apoio pedagógico e logístico às ações treinamento
GATE,1,CENPE,Difunde os métodos de pesquisa científica e uso de evidências 
GATE,1,CENPE,Identifica problemas públicos relevantes
GATE,1,CENPE,Realiza revisões de literatura e de iniciativas de políticas públicas
GATE,1,CENPE,Produz conhecimento com análise crítica
GATE,1,CENPE,Promove e fomenta análises interdisciplinares
GATE,1,CADG,Desenvolve aplicações a partir da análise de dados internos e externos
GATE,1,CADG,"Coleta, analisa e sistematiza dados internos e externos georreferenciados"
GATE,1,CADG,"Coleta, trata, guarda e disponibiliza dados internos e externos"
GATE,1,CADG,Coleta dados da atuação institucional
GATE,1,CADG,Desenvolve visualizações estáticas e interativas de dados processados
GATE,1,CADG,Desenvolve sistemas a partir da análise de dados externos e internos
GATE,1,CADG,Desenvolve e gerencia plataformas de divulgação de informações de interesse social
GATE,1,CADG,Difunde informação de interesse social a partir da coleta e análise de dados
GATE,1,CADG,"Fomenta inovação, transparência, inclusão e participação na gestão pública"
GATE,1,CADG,Produz conhecimento com análise crítica
GATE,1,SUBPLAN,Promove a atuação sistêmica do MPRJ
GATE,1,SUBPLAN,Elabora diagnósticos de órgãos do Ministério Público
GATE,1,SUBPLAN,Difunde inovação e boas práticas sobre administração pública
GATE,1,NINGUÉM,Potencializa o impacto social do MPRJ
GATE,1,NINGUÉM,Estimula a criação de rede de atores internos e externos
GATE,1,NINGUÉM,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos
GATE,1,NINGUÉM,Avalia fluxos e processos
GATE,2,COMUNICAÇÃO,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ
GATE,2,COMUNICAÇÃO,Potencializa o impacto social do MPRJ
GATE,2,COMUNICAÇÃO,Apoia os CAOs e grupos
GATE,2,NÚCLEO DE ARTICULAÇÃO INTEGRADA,Fomenta e dá suporte à integração e trabalho em conjunto entre diversos órgãos
GATE,2,NÚCLEO DE ARTICULAÇÃO INTEGRADA,Apoia os CAOs e grupos
GATE,2,SUBPLAN,Desenha e conduz avaliações de impacto para processos e iniciativas do MPRJ
GATE,2,SUBPLAN,Avalia fluxos e processos
GATE,2,SUBPLAN,Elabora diagnósticos de órgãos do Ministério Público
GATE,2,SUBPLAN,Promove a atuação sistêmica do MPRJ
GATE,2,SUBPLAN,Contribuição para a eleição de prioridades de atuação do MPRJ
GATE,2,SUBPLAN,Apoia os CAOs e grupos
GATE,2,IEP,Oferece o apoio pedagógico e logístico às ações treinamento
GATE,2,IEP,Dissemina conhecimento
GATE,2,IEP,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
GATE,2,IEP,Apoia os CAOs e grupos
GATE,2,CENPE,Identifica problemas públicos relevantes
GATE,2,CENPE,Difunde os métodos de pesquisa científica e uso de evidências 
GATE,2,CENPE,Avalia a efetividade das políticas públicas
GATE,2,CENPE,Realiza revisões de literatura e de iniciativas de políticas públicas
GATE,2,CENPE,Apoia os CAOs e grupos
GATE,2,CENPE,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
GATE,2,CENPE,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ
GATE,2,CADG,Difunde informação de interesse social a partir da coleta e análise de dados
GATE,2,CADG,Desenvolve aplicações a partir da análise de dados internos e externos
GATE,2,CADG,Coleta dados da atuação institucional
GATE,2,CADG,Desenvolve e gerencia plataformas de divulgação de informações de interesse social
GATE,2,CADG,"Coleta, trata, guarda e disponibiliza dados internos e externos"
GATE,2,CADG,"Coleta, analisa e sistematiza dados internos e externos georreferenciados"
GATE,2,CADG,Desenvolve visualizações estáticas e interativas de dados processados
GATE,2,CADG,Apoia os CAOs e grupos
GATE,2,GATE,Produz conhecimento com análise crítica
GATE,2,GATE,Promove e fomenta análises interdisciplinares
GATE,2,GATE,Oferece consultoria técnica
GATE,2,GATE,Dá suporte técnico a casos concretos de atuação do MPRJ
GATE,2,GATE,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ
GATE,2,GATE,Promove e organiza a gestão do conhecimento técnico do MPRJ
GATE,2,GATE,Apoia os CAOs e grupos
GATE,2,GATE,Dissemina conhecimento
GATE,2,GATE,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
GATE,2,GATE,Difunde os métodos de pesquisa científica e uso de evidências 
GATE,2,GATE,Avalia a efetividade das políticas públicas
GATE,2,GATE,Realiza revisões de literatura e de iniciativas de políticas públicas
GATE,2,GATE,Difunde informação de interesse social a partir da coleta e análise de dados
GATE,2,GATE,"Coleta, trata, guarda e disponibiliza dados internos e externos"
GATE,2,GATE,"Coleta, analisa e sistematiza dados internos e externos georreferenciados"
GATE,2,GATE,Desenvolve visualizações estáticas e interativas de dados processados
GATE,2,STIC,Faz a gestão do portal do MPRJ e da programação visual do site do MPRJ
GATE,2,STIC,Faz a gestão do parque de infraestrutura e tecnologia e telecomunicação do MPRJ
GATE,2,STIC,Implementa programa e medidas de proteção de dados em poder do MPRJ
GATE,2,STIC,Implementa programa de segurança da informação
GATE,2,STIC,Desenvolve sites para campanhas e casos de atuação do MPRJ
GATE,2,STIC,Desenvolve sistemas a partir da análise de dados externos e internos
GATE,2,STIC,Desenvolve sistemas de tecnologia da informação de uso interno
GATE,2,STIC,Dá suporte ou faz a aquisição de produtos de TIC institucionais
GATE,2,STIC,Apoia os CAOs e grupos
GATE,2,INOVA,"Fomenta inovação, transparência, inclusão e participação na gestão pública"
GATE,2,INOVA,Prospecta no Brasil e no mundo tendências e iniciativas de inovação
GATE,2,INOVA,Difunde inovação e boas práticas sobre administração pública
GATE,2,INOVA,Faz experimentos
GATE,2,INOVA,Difunde a cultura e métodos de ideação e inovação
GATE,2,INOVA,Apoia os CAOs e grupos
GATE,2,CSI,Monitora dados relativos a presos e organizações criminosas
GATE,2,CSI,Gerencia bancos de dados com informações sensíveis e sigilosas
GATE,2,CSI,Usa ferramentas de ciências de dados para o suporte a investigações criminais
GATE,2,CSI,Apoia os CAOs e grupos
GATE,2,CSI,Dá suporte técnico a casos concretos de atuação do MPRJ
GATE,2,CSI,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ
GATE,2,OUVIDORIA,Potencializa o impacto social do MPRJ
GATE,2,NINGUÉM,Estimula e apoia a contribuição de atores externos ao trabalho dos órgãos do MPRJ
GATE,2,NINGUÉM,Estimula a criação de rede de atores internos e externos
STIC,1,APMOD,Avalia fluxos e processos
STIC,1,APMOD,Contribuição para a eleição de prioridades de atuação do MPRJ
STIC,1,APMOD,Faz experimentos
STIC,1,CADG,"Coleta, analisa e sistematiza dados internos e externos georreferenciados"
STIC,1,CADG,"Coleta, trata, guarda e disponibiliza dados internos e externos"
STIC,1,CADG,Usa ferramentas de ciências de dados para o suporte a investigações criminais
STIC,1,CADG,Produz conhecimento com análise crítica
STIC,1,CADG,Desenvolve visualizações estáticas e interativas de dados processados
STIC,1,CADG,Coleta dados da atuação institucional
STIC,1,CADG,Faz experimentos
STIC,1,CADG,Desenvolve e gerencia plataformas de divulgação de informações de interesse social
STIC,1,CADG,Promove e fomenta análises interdisciplinares
STIC,1,INOVA,Prospecta no Brasil e no mundo tendências e iniciativas de inovação
STIC,1,INOVA,"Fomenta inovação, transparência, inclusão e participação na gestão pública"
STIC,1,INOVA,Difunde a cultura e métodos de ideação e inovação
STIC,1,INOVA,Faz experimentos
STIC,1,CSI,Monitora dados relativos a presos e organizações criminosas
STIC,1,CSI,Faz experimentos
STIC,1,CSI,Gerencia bancos de dados com informações sensíveis e sigilosas
STIC,1,CSI,Oferece consultoria técnica
STIC,1,CSI,Apoia os CAOs e grupos
STIC,1,CSI,Dá suporte técnico a casos concretos de atuação do MPRJ
STIC,1,IEP,Difunde inovação e boas práticas sobre administração pública
STIC,1,IEP,Oferece o apoio pedagógico e logístico às ações treinamento
STIC,1,IEP,Interage e compartilha conhecimento com outras instituições de ensino e pesquisa
STIC,1,IEP,Dissemina conhecimento
STIC,1,IEP,Promove e organiza a gestão do conhecimento técnico do MPRJ
STIC,1,IEP,Difunde conhecimento sobre o funcionamento e a atuação do MPRJ
STIC,1,IEP,Faz experimentos
STIC,1,STIC,Implementa programa e medidas de proteção de dados em poder do MPRJ
STIC,1,STIC,Desenvolve sistemas de tecnologia da informação de uso interno
STIC,1,STIC,Desenvolve sistemas a partir da análise de dados externos e internos
STIC,1,STIC,Desenvolve sites para campanhas e casos de atuação do MPRJ
STIC,1,STIC,Faz a gestão do portal do MPRJ e da programação visual do site do MPRJ
STIC,1,STIC,Gerencia bancos de dados com informações sensíveis e sigilosas
STIC,1,STIC,Dá suporte ou faz a aquisição de produtos de TIC institucionais
STIC,1,STIC,Desenvolve aplicações a partir da análise de dados internos e externos
STIC,1,STIC,Desenvolve e gerencia plataformas de divulgação de informações de interesse social
STIC,1,STIC,Faz a gestão do parque de infraestrutura e tecnologia e telecomunicação do MPRJ
STIC,1,STIC,Implementa programa de segurança da informação
STIC,1,STIC,Faz experimentos
STIC,1,GATE,Dá suporte técnico e científico para temas relacionados à atividade-fim do MPRJ
STIC,1,GATE,Oferece consultoria técnica
